,claim_id,customer_id,claim_date,claim_amount,claim_type,status,amount_missing_flag
3,CLM004,C002,2024-01-05,,Other,Denied,False
4,CLM005,C038,2024-06-01,,Other,Denied,False
5,CLM006,C013,2024-01-07,1030.0,Other,Approved,False
7,CLM008,C038,2024-09-01,81945.0,Fire,Pending,False
8,CLM009,C033,2024-01-10,0.0,Accident,Pending,False
9,CLM010,C029,2024-11-01,,Theft,Denied,False
11,CLM012,C012,2024-01-13,5710.0,Fire,Denied,False
12,CLM013,C040,2024-01-14,92530.0,Fire,Pending,False
14,CLM015,C025,2024-01-16,,Other,Pending,False
15,CLM016,C018,2024-01-17,,Weather,Denied,False
16,CLM017,C006,2024-01-18,3350.0,Accident,Pending,False
17,CLM018,C024,2024-01-19,1540.0,Accident,,False
18,CLM019,C002,2024-01-20,59065.0,Other,Denied,False
23,CLM024,C019,2024-01-25,,Fire,Pending,False
29,CLM030,C040,2024-01-31,,Weather,,False
30,CLM031,C016,2024-02-01,7520.0,Weather,Denied,False
33,CLM034,C032,2024-02-04,37435.0,Accident,,False
34,CLM035,C039,2024-02-05,64050.0,Accident,,False
35,CLM036,C007,2024-02-06,89820.0,Fire,Denied,False
36,CLM037,C038,2024-02-07,6330.0,Other,Approved,False
38,CLM039,C027,2024-09-01,97000.0,Theft,Approved,False
42,CLM043,C033,2024-02-13,,Other,Denied,False
43,CLM044,C030,2024-02-14,5600.0,Other,,False
45,CLM046,C024,2024-02-16,0.0,Accident,Denied,False
49,CLM050,C006,2024-02-20,1245.0,Theft,Approved,False
50,CLM051,C035,2024-01-21,116400.0,Accident,Approved,False
52,CLM053,C029,2024-02-23,,Accident,Pending,False
53,CLM054,C034,2024-02-24,,Fire,,False
54,CLM055,C018,2024-02-25,1300.0,Weather,Denied,False
56,CLM057,C040,2024-01-27,69325.0,Other,Denied,False
58,CLM059,C007,2024-02-29,0.0,Accident,Denied,False
59,CLM060,C050,2024-03-01,14570.0,Weather,Approved,False
62,CLM063,C034,2024-03-04,8930.0,Other,Denied,False
65,CLM066,C032,2024-07-01,,Weather,,False
68,CLM069,C019,2024-03-10,96730.0,Theft,Approved,False
